               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.033782,            0.076196,                   0,              0.9854,             0.95414,             0.98827,             0.78177,            0.027707,              0.1198,                   0,            0.008746,            0.008746,            0.008746
                  40,            0.032777,            0.077118,                   0,             0.98308,              0.9493,             0.98605,             0.79084,            0.027565,             0.12113,                   0,            0.008713,            0.008713,            0.008713
                  41,            0.033206,            0.076233,                   0,             0.98155,             0.95366,             0.98786,             0.78482,            0.028107,             0.12108,                   0,             0.00868,             0.00868,             0.00868
                  42,            0.033128,            0.079316,                   0,             0.98119,             0.95881,             0.98867,             0.81534,            0.025333,             0.11644,                   0,            0.008647,            0.008647,            0.008647
                  43,            0.032995,            0.076647,                   0,             0.98264,             0.95325,             0.98762,             0.80246,            0.026272,             0.11706,                   0,            0.008614,            0.008614,            0.008614
                  44,            0.032937,              0.0736,                   0,             0.98778,             0.94494,             0.98649,             0.80143,             0.02647,             0.12147,                   0,            0.008581,            0.008581,            0.008581
                  45,            0.031569,            0.075887,                   0,             0.98293,             0.95663,             0.98831,             0.81888,            0.025182,             0.11596,                   0,            0.008548,            0.008548,            0.008548
                  46,             0.03196,            0.072731,                   0,             0.98502,              0.9468,             0.98681,             0.79439,            0.026764,             0.11965,                   0,            0.008515,            0.008515,            0.008515
                  47,            0.032118,             0.07612,                   0,             0.98297,             0.95679,             0.98828,             0.81072,            0.025606,             0.11559,                   0,            0.008482,            0.008482,            0.008482
                  48,            0.031649,             0.07399,                   0,             0.97872,             0.96562,             0.98982,             0.81488,            0.025436,             0.11494,                   0,            0.008449,            0.008449,            0.008449
                  49,            0.032462,            0.073844,                   0,             0.98791,             0.95568,             0.98935,             0.81675,            0.025101,             0.11364,                   0,            0.008416,            0.008416,            0.008416
                  50,            0.031527,            0.073562,                   0,             0.98506,             0.95759,             0.98878,             0.83538,            0.024449,             0.11363,                   0,            0.008383,            0.008383,            0.008383
                  51,             0.03136,            0.073007,                   0,              0.9848,             0.95646,             0.98863,             0.82217,            0.024815,             0.11331,                   0,             0.00835,             0.00835,             0.00835
                  52,              0.0314,            0.073554,                   0,             0.98439,              0.9573,              0.9885,             0.82757,            0.024622,             0.11182,                   0,            0.008317,            0.008317,            0.008317
